Deeply Under Construction.

row     status      agegrp      cond        duration
----------------------------------------------------
 17008  recovered   age0_19     49|81      
 17012  recovered   age0_19     48|64      
 17043  recovered   age0_19     47|99      
 17046  recovered   age0_19     40|62      
 17055  recovered   age0_19     67|79      
 17059  recovered   age0_19     73|85|115  
 17064  recovered   age0_19     74|93      
 17105  recovered   age0_19     60|74      
 17110  recovered   age0_19     80|94      
 17401  recovered   age0_19     61|79      
 17442  recovered   age0_19     68|77      
 17471  recovered   age0_19     49|66|100  
 17498  recovered   age0_19     43|79      
 17512  recovered   age0_19     58|79      
 17561  recovered   age0_19     52|70      
 17573  recovered   age0_19     69|87      
 17591  recovered   age0_19     52|64      
 17605  recovered   age0_19     61|82      
 17616  recovered   age0_19     62|88      
 17617  recovered   age0_19     72|134     
 17619  recovered   age0_19     65|107     
 17644  recovered   age0_19     59|74      
 17669  recovered   age0_19     58|73      
 17677  recovered   age0_19     66|90      
 17701  recovered   age0_19     63|102     
 17739  recovered   age0_19     63|77      
 17765  recovered   age0_19     56|73      
 17781  recovered   age0_19     66|85      
 17816  recovered   age0_19     42|58      
 17851  recovered   age0_19     56|97      
 17874  recovered   age0_19     73|86      
 17889  recovered   age0_19     67|81      
 17924  recovered   age0_19     59|83      
 17932  recovered   age0_19     54|63      
 17942  recovered   age0_19     53|63      
 17978  recovered   age0_19     81|104     
 18002  recovered   age0_19     73|82      
 18082  recovered   age0_19     53|71      
 18135  recovered   age0_19     50|59      
 18172  recovered   age0_19     65|77      
 18222  recovered   age0_19     59|79      
 18228  recovered   age0_19     52|71      
 18229  recovered   age0_19     50|71      
 18272  recovered   age0_19     64|86      
 18277  recovered   age0_19     50|64      
 18278  recovered   age0_19     51|65|75   
 18280  recovered   age0_19     44|66      
 18285  recovered   age0_19     64|94      
 18377  recovered   age0_19     62|72      
 18415  recovered   age0_19     45|60      
 18433  recovered   age0_19     42|53      
 18478  recovered   age0_19     67|87      
 18508  recovered   age0_19     42|73      
 18542  recovered   age0_19     74|116     
 18565  recovered   age0_19     61|126     
 18573  recovered   age0_19     71|96      
 18589  recovered   age0_19     53|91      
 18636  recovered   age0_19     71|105     
 18733  recovered   age0_19     63|78      
 18751  recovered   age0_19     67|83      
 18752  recovered   age0_19     45|69      
 18778  recovered   age0_19     70|119     
 18805  recovered   age0_19     55|73      
 18841  recovered   age0_19     65|87      
 18843  recovered   age0_19     51|70      
 18919  recovered   age0_19     49|62      
 18931  recovered   age0_19     47|56|68   
 18939  recovered   age0_19     69|82      
 18941  recovered   age0_19     34|55      
 19029  recovered   age0_19     67|86      
 19032  recovered   age0_19     59|73      
 19097  recovered   age0_19     66|81      
 19137  recovered   age0_19     54|79      
 19157  recovered   age0_19     59|74      
 19253  recovered   age0_19     44|73      
 19262  recovered   age0_19     64|147     
 19333  recovered   age0_19     58|90      
 19370  recovered   age0_19     56|74      
 19510  recovered   age0_19     48|58      
 19541  recovered   age0_19     53|91      
 19543  recovered   age0_19     41|61      
 19610  recovered   age0_19     60|72      
 19622  recovered   age0_19     51|72      
 19623  recovered   age0_19     27|75      
 19689  recovered   age0_19     57|84      
 19707  recovered   age0_19     57|71|87   
 19763  recovered   age0_19     61|142     
 19771  recovered   age0_19     54|66      
 19825  recovered   age0_19     80|93      
 19849  recovered   age0_19     43|62      
 19885  recovered   age0_19     77|95      
 19909  recovered   age0_19     42|98      
 19956  recovered   age0_19     54|74      
 19963  recovered   age0_19     60|75      
 19977  recovered   age0_19     73|102     
 19979  recovered   age0_19     78|94      
 19980  recovered   age0_19     78|87      
 20090  recovered   age0_19     49|89      
 20236  recovered   age0_19     65|85      
 20254  recovered   age0_19     76|98      
 20277  recovered   age0_19     68|90      
 20289  recovered   age0_19     64|85      
 20311  recovered   age0_19     32|96      
 20375  recovered   age0_19     40|64      
 20392  recovered   age0_19     59|74      
 20429  recovered   age0_19     67|90      
 20463  recovered   age0_19     73|83      
 20484  recovered   age0_19     69|80      
 20506  recovered   age0_19     59|86      
 20541  recovered   age0_19     55|95      
 20548  recovered   age0_19     59|85      
 20575  recovered   age0_19     68|91      
 20613  recovered   age0_19     72|91      
 20678  recovered   age0_19     59|69      
 20679  recovered   age0_19     76|88      
 20692  recovered   age0_19     65|74      
 20709  recovered   age0_19     42|58      
 20720  recovered   age0_19     74|104     
 20735  recovered   age0_19     56|82      
 20737  recovered   age0_19     56|92      
 20755  recovered   age0_19     55|72      
 20763  recovered   age0_19     45|61      
 20839  recovered   age0_19     63|141     
 20846  recovered   age0_19     54|69      
 20852  recovered   age0_19     52|81      
 20859  recovered   age0_19     56|103     
 20979  recovered   age0_19     56|70      
 21030  recovered   age0_19     56|70      
 21034  recovered   age0_19     69|82      
 21041  recovered   age0_19     57|77      
 21052  recovered   age0_19     32|79      
 21085  recovered   age0_19     63|80      
 21091  recovered   age0_19     63|79      
 21110  recovered   age0_19     67|82      
 21224  recovered   age0_19     56|74      
 21226  recovered   age0_19     56|73      
 21244  recovered   age0_19     57|70      
 21246  recovered   age0_19     54|75      
 21250  recovered   age0_19     63|79      
 21268  recovered   age0_19     24|60      
 21280  recovered   age0_19     62|79      
 21327  recovered   age0_19     50|138     
 21368  recovered   age0_19     62|72      
 21531  recovered   age0_19     67|83      
 21534  recovered   age0_19     57|71      
 21576  recovered   age0_19     50|74      
 21577  recovered   age0_19     48|91      
 21610  recovered   age0_19     51|67      
 21628  recovered   age0_19     59|84      
 21654  recovered   age0_19     60|103     
 21702  recovered   age0_19     50|64      
 21716  recovered   age0_19     53|71      
 21851  recovered   age0_19     51|101     
 21868  recovered   age0_19     45|77      
 21901  recovered   age0_19     60|77      
 21946  recovered   age0_19     50|93      
 21950  recovered   age0_19     76|91      
 21957  recovered   age0_19     71|85      
 22041  recovered   age0_19     56|73      
 22052  recovered   age0_19     63|79      
 22163  recovered   age0_19     56|68      
 22169  recovered   age0_19     66|105     
 22209  recovered   age0_19     61|72      
